Görüş;Durum
fiyatına göre idâre eder;0
Alınabilecek bu fiyata en iyi si;2
Tam bir fiyat performans ürünü kargo da hızlıydı;2
ilk izlenim olarak son derece memnun kaldık;2
eşime aldım parasina göre çok iyi diyor;2
urun hem ucuz hemde sağlam cikti;2
Fiyatına göre başarılı;2
çok iyi ama biraz fazla ses çıkarıyor;0
ürünü öneririm bu fiyata gayet kaliteli bi ürün;2
çok iyi o kadar paranızı pahalı markalara vermeyin;2
boyutuna göre mükemmel bir makina..;2
fiyatına göre işlevsel;2
Fiyatına göre kullanışlı;2
İndirimdeyken almıştım performansı güzel ??;2
Sakal tıraşı için harika ama saç için uygun değil;0
çok iyi urun tercih ederim;2
0 kesmiyor ama fiyatına göre çok iyi;0
Ürün hem güzel hemde fiyatına göre uygun;2
Düşünmeden alın. 3 tane aldım neden bilmiyorum.;2
Uygun fiyat güzel cihaz hızlı teslimat;2
Çok güzel bir makine ama içinde sadece 1 5 3 numara kesim uçları var sakal ense ve düzeltme için 10 numara.;2
arkadaşlar ürün elime ulaştı ve tek kelimeyle mükemmel geldi direk saçımı ve sakalımı kestim bana mısın demedi şarjı fulleyip kesince zaten tam bi canavar tek bi sorunu tarakları çok kısa 1mm 5mm ve 3mm olmak üzere 3 tarağı var ve 3mmlik tarak berberlerdeki 1 numaraya denk geliyor yani en uzunu bile 1 numara ama ben zaten evden çıkmıyorum diye aldım direk 1 e vurdum kafam fırıl fırıl şuan oh tavsiye ederim;2
Ürün geldiği gibi hem kendim hemde çocuğumun saç kesimini yaptim uzerindeki sarj yetti artti bile.. Kesim isine gelince ki benim saçım sert ve sık, hic takilmadan kesti. Süper bir ürün. Tavsiye ederim.;2
Powertec markasını daha önce almıştım fakat o biraz daha büyüktü. Makinayı ilk kullanımımda süper hızla çalışıyor. 50 dakika içersinde tüm saç sakalı aldı. Kesinlikle tıraş makinasında power tec diyorum. Aldığınız para helal olsun.;2
Daha önce 5 adet farklı marka traş makinası aldım, en çok hoşuma giden bu oldu. Kullanışlı pratik bir makina tavsiye edebilirim.;2
Harika bir ürün şiddetle tavsiye ederim pahalı makinelerden bir farkı yok kuaförümün tavsiyesi ile aldım;2
bugün geldi ürün paketleme ve kutu içi tertemiz resmen makinanın kokusunu aldim herkeze tavsiye ederim kaliteli ürün ben paketleme ve kutu açılımına hayran kaldınn çok titiz ve ozenilerek paketlenmiş;2
Kuaförümün kullandığı ve bilerek aldığım bir ürün sakal inceltme ve kesmek için aldım saç kesmeye dair bir beklentim yoktu zaten.Sıfıra yakın alıyor ve keserken herhangi bir çekme ya da takılma asla yapmıyor gayet profesyonele yakın bir ürün beklentiler doğrultusunda tavsiye ederim.;0
Ürün harika saç için yazanlar olmuş ama açıklama da sakal için yazıyor zaten düşünmeden alın çok başarılı;2
Ürünü yorumlara bakarak adım. Eşim çok memnun kaldı. Ürün aynen anlatıldığı gibi. Herkese tavsiye ederim.;2
içinden 1.5.3 tarak çıkıyor abi 1 numara ne ya 5 numara ne içinde olması gereken 3 4 5 bunun için 1 puan vericektim ama dua edin mal kaliteli :) gerçekten parasının hakkını veren bı makine çok beğendim 3 numarayla idare edicez artık ..;0
Ürün elime ulaştı. Şarj aparatı biraz kalitesiz bir şeye benziyor ama doğrudan kablo ile aparatı kullanmadan da şarj edilebiliyor.Ayrıca telefon şarj aleti ile de şarj ediliyor. Tarak sayısı az ve en uzun tarak bile normal makinaların 1 numarası gibi kesiyor.Herhalde tek dezavantajı bu. Kısa sakal kesimleri için ideal bir makine. Satıcı firmaya ve Trendyol'a teşekkür ederim.;0
ürün çok güzel sıfır denilecek şekilde aliyo almak isteyene tavsiye ederim gönül rahatlığıyla alabilirsiniz;2
gür ve kalın sakallı değilseniz kesinlikle günlük olarak kullanışlı. Tarakları sıradan, saç kesiminde de başarılı. Ufak boyutuyla yer kaplamıyor, tavsiye ederim.;2
(Satıcı: Kuzey Pazarlama) 4 adet satın aldım, satıcı özensiz paketlemesine rağmen sorunsuz elime ulaştı... Ürün gerçekten fazlasıyla iş görüyor.;2
esim için almıştım çok memnun kaldı ve çok beğendi fiyatida gayet uygun paketleme ve gonderimde bir sorun yaşamadık;2
Ürün geldiği gibi hem kendim hemde çocuğumun saç kesimini yaptim uzerindeki sarj yetti artti bile.. Kesim isine gelince ki benim saçım sert ve sık, hic takilmadan kesti. Süper bir ürün. Tavsiye ederim.;2
Fiyat performans olarak harika 3 ay oldu alalı halen sarja takmadım halen çalışıyor haftada 1-5 kere kullanmama rağmen;2
Harika makine gerçekten. Aynısı kardeşimde vardı ve uzun zamandır kullanıyordum zaten, sonunda kendime de aldım.;2
kaliteli ürün Berberler bile Bu markayı kullanıyor çok memnunum Çok teşekkür ederim Kargo zamanında geldi;2
İkinci kez alıyorum çok kaliteli ve güzel bir ürün üstelik Türk markası olması beni mutlu ediyor. Bu arada fakir gibi farklı markalar deneme imkanım oldu kesinlikle Powertech bir numara diyebilirim;2
yorumlar üzerine aldım ve iyiki almışım harika bir ürün kusursuz kargo tavsiye ediyorum çok menmun kaldim teşekkürler Trendyol;2
Ürün sapasağlam bir şekilde gönderilmiş. Bu kadar yoğun bir süreçte bile dün sipariş edip bugün ulaştırdılar elime. Çok teşekkürler;2
Güzel ürün paketlenmesi de gayet güzel sıfıra yakın kesiyor en ucuz satan satıcı da buydu garanti belgesi içinde geldi. tavsiye ediyorum kesinlikle.;2
Harika bir ürün şiddetle tavsiye ederim pahalı makinelerden bir farkı yok kuaförümün tavsiyesi ile aldım;2
Çok güzel bir makine ama içinde sadece 1 5 3 numara kesim uçları var sakal ense ve düzeltme için 10 numara.;2
arkadaşlar ürün elime ulaştı ve tek kelimeyle mükemmel geldi direk saçımı ve sakalımı kestim bana mısın demedi şarjı fulleyip kesince zaten tam bi canavar tek bi sorunu tarakları çok kısa 1mm 5mm ve 3mm olmak üzere 3 tarağı var ve 3mmlik tarak berberlerdeki 1 numaraya denk geliyor yani en uzunu bile 1 numara ama ben zaten evden çıkmıyorum diye aldım direk 1 e vurdum kafam fırıl fırıl şuan oh tavsiye ederim;2
Eskisini kullanıyordum 7-8 senedir . Bildiğim marka . Tam bir F/P ürünü. Sinek kaydı yapmıyor tabiki . 3 numara saç kesebilirsiniz en fazla .Taraklar 1 ,5 ve 3 numara .;0
Çok güzel çok memnunuz 1 yıl oldu kullanalı gayet güzel diğer popüler markalara o kadar para vermeye gerek yok trendyol iyi ki var;2
Bir haftalık ve oldukça sert olan sakalımı toplam 3 dakikada aldı. Ürün çok iyi çıktı. 0 olarak alıyor Gözünüz kapalı alabilirsiniz. Tek sıkıntı teslimat 10 gün kadar sürdü. Ama bu pandemi döneminde o da çok normal bence. Teşekkürler emeği geçenlere;2
Sıfıra yakın kesiyor. Hatta dikkat etmezseniz jiletle tıraş olur gibi kesebilirsiniz cildinizi. Bıyıklarımı keserken yanlışlıkla dudağıma değdirdim azıcık kanadı ?? gerçekten iyi kesiyor;2
artık 5-6 aydır kullanıyorum, ve gerçekten çok kaliteli. bu yorum normal insan tarafından yazılmıştır random değil yani. Tam gönül rahatlığıyla alın. hem ince güzel ele rahat oturuyor hem de ister saç ister Vücut her yer için uygun güçlü bir başlığa sahip;2
Ürün gerçekten başarılı, bıçaklar keskin, 3 adet başlık var 1,5,3 mm lik. Temizleme fırçası ve yağ bakım için gönderiliyor kutuda.;2
Çok kaliteli bir traş makinası ve diğer ünlü markalardan cok daha kullanışlı. Tek eksiği plastik tarak sayısı az.;0
Ürün beklentilermi karşlladl motoru çokguzel çallşlyor herkese tavsiye ediyorum çokhlzlı iyi traş ediyor;2
15 yildir kirli sakal gezen biri olarak farkli marka ve modelde makinalar kullandim. Şunu söylemek gerekirse makineyi elinize alinca kalitesini hissediyorsunuz. Çalıştırmaya gerek kalmadan. diyeceklerim bu kadar :);2
Gayet iyi sakal traşlarımda kullanıyorum içinde 3 başlık var 1,5,3mm olarak genelde ense ve sakal çizme için kullanıyorum;2
makineyi eline aldığında kalitesini anlıyorsun zaten. Baska söze gerek yok. Mağaza paketlenmesi de iyi. Teşekkürler;2
Ben ürünü çok beğendim. Bu ürüne muadil sayılabilecek olan Fakir Stubby isimli ürünü kullanmıştım daha önce. Ona kıyasla artı yönü daha kısa tıraş yapması ve daha ergonomik olması. Eksi yönü ise Powertec de daha az tarak numarası bulunması. Sonuç olarak kaliteli bir ürün bence ve bu fiyatlarda kaldığı sürece tercih edilebilir. Muhtemelen herkesin aklına gelen ilk soru sıfır alıp almadığı. tam anlamıyla sıfır denemese de oldukça dipten alıyor. (Uzun kullanım yorumu değildir );2
Makina güzel biraz küçük berberlerin ense ve sakal için kullandığı makina ama kişisel kullanımda saç içimde kullanılır;2
Fiyatına göre harika bir traş makinesi. Makinesi 4 aydır kullanıyorum ve çok memnunum. Sakalları sıfıra çok yakın alıyor ve şarjı uzun gidiyor.;2
Powertec markasını daha önce almıştım fakat o biraz daha büyüktü. Makinayı ilk kullanımımda süper hızla çalışıyor. 50 dakika içersinde tüm saç sakalı aldı. Kesinlikle tıraş makinasında power tec diyorum. Aldığınız para helal olsun.;2
Ürün paketleme gayet iyi. Çalışmasında herhangi bir problem yok. Fiyatına göre gayet iyi bir ürün. Tereddüt etmeden alabilirsiniz.;2
ürün tıpkı görüldüğü gibi ancak sadece sakal için. sert sakallarda 0 almıyor ancak yumusak sakalliniz varsa 0 kesiyor;0
görseldeki gibi geldi kargo hızlıydı, memurum haftalık traş için çok ideal sakalım yumuşak ve nerdeyse jilet gibi sıfır alıyor, tek sarjla 3 kez tıraş oldum genel;2
Ürün bir buçuk gün gibi kısa bi sürede elimizdeydi ve beklediğimiz gibi güzel bi üründü hızınız için tebrikler ????????????;2
eşime hediye aldim, bilinen en kaliteli makinalardan daha güzel olduğunu soyledi eşim, neredeyse sıfıra yakın kesiyor, sinek kaydı diyebiliriz, tek eksiği bıçakları çok keskin olduğu için başlıksız kullanımda çok bastırmadan tras olunmalı yoksa cildi tahriş ediyor, bu fiyata çok çok çok güzel bir urun;2
ben cok uzun zamandir arastirdigim bir urundu. hem telefon kablosu hemde kendi adaptörü ile sarj oluyor. sifira yakin kesiyor gercekten sarji da ciddi anlamda cok uzun sure gidiyor. ense faul sakal yada vucudda kullanilir. ama diger türlü kullanilacagini dusunmuyorum;2
Arkadaşım tavsiye etmişti bu ürünü piyasaya farklı isimlerde birçok ürün var ancak tavsiye üzerine aldım ve çok memnun kaldım sakal için mükemmel;2
Ürun elime cabuk ulastı. Sıkıntısız sekilde kullanmaya basladım. performansı şimdilik çok iyi ileride nasıl degisir bilemem.;2
Ürünü saç kesimi için sipariş verdim. Acabalarım vardı sipariş verirken. Ancak gerçekten sorunsuz bir şekilde saçlarımı kestim. Hiç takılma çekme yapmadı. Çok kaliteli bir ürün. Tereddüt etmeden sipariş verebilirsiniz. İçinde 3-5-1 şeklinde tarakları var. Ben daima kısa saç istediğim için ihtiyacımı karşıladı. Kargo hızlıydı. Pişman olmayacağınız bir ürün.;2
Ürün kaliteli ihtiyaci karsilamakta. Sıfır gibi almasada sıfıra yakın sakallari almakta. Keserken takilma yavaşlama yok 30 günlük sakali cok hizli aldı ilk kullanimda.;2
F/p ürünü kargo cok iyi araya haftasonu girmesine ragmen 3 gün icerisinde geldi ürün kaliteli hissi veriyor;2
Mükemmel gerçekten bu fiyata alabilceginiz en iyimakind 90 dakikakka jarji gidiyor iyi kesio ve türk malı sakal ve ense için ideal ancak saç kesimi için önermem çünkü 1 5 3 lük ler cikior;0
Ürün bugün tam ve eksiksiz geldi, sadece biraz geç kargolandı , makina harika , sakalı 0 a yakın kesiyor , saçıda kusursuz kesiyor, tasarımı ve kullanımı muazzam, fiyatıda çok iyi.. Teşekkürler;2
dedikleri kadar varmış, keskin şarjı iyi gidiyor, usb den şarj çok iyi adaptöre gerek yok, başlık sayısı 1-5 tane daha fazla olabilirmiş, kısa kesimler için ideal, daha fazlasına gerek var mı bilmiyorum çünkü fiyatına göre değmez gibi, 500-300 Lük makineler 500-600 oldu;2
sakal kesimi ve şekillendirmesi icin aldim cok memnunum keskinligi vs cok iyi. cok kullanisli urun sac kesimi icin bilmiyorum ama sakal icin ideal.;2
Gayet kullanışlı bir makina tek sorun en büyük ucunun 3 numara olması. Saçı da sakalı da rahat kesiyor.;0
Abime ve babama aldım ikisi de Her türlü şekillendirme için uygun olduğunu ve çok büyük rahatlık olduğunu söylediler saç sakal İçin özellikle harika bir ürün tereddüt etmeden alabilirsiniz;2
Çok hızlı geldi. Trendyoldan aldığım ve en hızlı gelen ürün. Herşey sağlam ve yerinde. Ürünü berber arkadaşım önerdi. Sadece sakal için.;2
ürünü kullandım gerçekten süper gönül rahatlığıyla Kullanabilirsiniz nerdeyse sakalımı sıfır gibi kesti beş yildiz verdim urune;2
Ürün fiyatına göre çok iyi şarj ünitesine takınca dolduğunu yeşil ışıktan anlayabiliyoruz. Çok kullanışlı ve pratik her türlü insanın kolaylıkla kullanabileceği bir traş makinesi olduğunu düşünüyorum. Ayrıca paketleme çok özenliydi firmaya teşekkür ederim;2
super bi tras makinasi bunun gibisi yok iki tane aynisindan aldım tavsiye ederim kesinlikle alacaginiz tek makina bu hic düşünmeden alabilirsiniz;2
Çok kullanışlı. Her eve tavsiye ederim. Özellikle şu son zamanlarda berbere gidemediğim iz bu coronavirüs günlerinde kurtarıcımız oldu. Hem sakal hem de saç kesiminde kullandık.;2
Ürün kısa zamanda elime geçti. Aras kargo çok iyi. Ürünün ambalajı sağlamdı ezilme büzülme yoktu. Ürüne gelince içinde şarj aleti bakım yağı ve 1-5-3 numara makina ucu taraklar mevcut. Makina gayet güzel. Ama 4 ve 5 numara taraklarıda olsaymış saç kesmek için çok daha ideal olacakmış. Bu şekilde biz amatörler için ense traşı felan yapmak ideal. Bunları göz önünde bulundurun makina fiyatına göre bence güzel.;2
Mukemmel bı makına tavsıye ederım sacıda gızel kesıyo  sakl fln mukmmel bı urun;2
Bu fiyata bu kadar başarılı bir ürün beklemiyordum. Eşim saç ve sakalını kesti. Ben de kendi saçlarımı bile kesebildim evde. Tereddütlüydüm ama performansı beni etkiledi;2
ürünu saç kesmek icin aldik gelir gelmezde kullandik hala icindeki şarji bitmedi cidden basarilı ?? hem ucuz hem kaliteli ??;2
ürün fiyatına göre beklentiyi karşılıyor. sakal traşında hiç sorun yok yalnız saç traşında biraz zaman alıyor. kargo işine gelince aras kargo her zamanki gibi berbat. evimin kapısına kadar gelip kağıt asmışlar. gidip kendim aldım artık.;2
bugün teslim aldim kisa surede elime ulaştı denedim cok beğendim indirimdeyken aldim simdi bir tane daha siparis verdim arkadasim için;2
ürünü berberimin önerisi üzerine aldım, sıfıra yakın bir kesimi var,3 tane numaralı başlıkları sayesinde sakalıma şekil verebiliyorum.;2
Ürünü berberim Traşta kullanmıştı, sıfır alması ve bıçaklarını çok beğenmiştim. Burada görünce de aldım. Yarı profesyonel bir traş makinesi, ev tipi pahalı markalara on basar.;2
ürünü kuaförümün tavsiyesi üzerine aldım gayet iyi başarılı sakallar ve enseye alma da gayet başarılı alacaklara tavsiye ediyorum şarj süresi da gayet iyi aldığımdan beri hiç şarj etmedim 8 - 10 defa kullandım hâlâ şarjı bitmedi;2
ürün güzel bir duruşu var kullanışlı duruyo sakal tıraşı gayet iyi kirli tıraş sonrası sakal gibi oluyo tavsiye edilir;2
Kalitenin dahada üstünde bir ürün. Mükemmel. 3 tane tarağı var. Taraksiz ise 1-5 günlük sakal seklinde kesiyor.;2
Bildiğim ürün gayet güzel işinizi görür satıcıdan ilk defa alışveriş yapıyorum hızlı ve gayet başarılı buldum saygılar;2
1 günde geldi. Test etmek için ve Traş makinasını zorlamak için saç tıraşı oldum 1 saat duraksız çalıştı ve hâlâ şarjı bitmedi. çok güçlü ve kusursuz saç tıraşı yaptı taraklarıda çok işe yarıyor. Bıçakları keskin ve motoru kuvvetli. Bu fiyata bu makina efsane.;2
Ürün gayet güZel..Almak isteyenler alsın..Gidipte teknoloji firmalarındaki ürünler okadar para vermeye degmez..;2
Pahalı marka makineleri atın bi tarafa. Tek kelime ile harika ötesi. Her türlü beklentinizi karşılıyor çok kaliteli.;2
ürünü babam için almıştım gayet başarılı. evden cikamadigimiz bu gunlerde daha genc olanlar kendi kendine kullanip sacini kesebilir.;2
Güzele benziyor bakalım yeni geldi performans nasıl olur bilmiyorum ele oturuyor göründüğü gibi büyük değil.;2
henüz kullanmadım ama powertec kuaför lerinde. kullandığı bir marka küçük görüntüsü güzel bir makine eksiksiz ve zamanında kargo içinde teşekkürler;2
hızlı teslimat cihazı arastirarak aldım çok sert sakalı olmayanlara tavsiye ederim haftada bir kez aynî makinayla berberde tras oluyordum artık kendim olacagim. gönderen mağazaya ayrıca teşekkür ederim;2
Abime berberi tavsiye etmiş kendisi de dükkanda bu makine ile traş ediyormuş. Ben de damat bohçası için aldım. Hızlı teslimat, hasarsız kutu. Ürün çok şık ve kaliteli. Saç için denemesi ama sakalları güzel kısaltıyor. Tavsiye ediyorum;2
daha tras olmadım ama araştırmalarım sonucu aldım kaliteli duruyor ve fiyat en uygun birdaydi deneyip tekrar yazicam;2
gerçekten harika bir ürün cildim çok hassas jilet kullanmadan gayet güzel alıyor ayrıca hızlı kargo için teşekkürler;2
Faturalı, orijinal ürün. Hızlı şarj oluyor, bıyık ve sakalları istenilen uzunlukta zahmetsizce kısaltıyor. Önceki Philips makineme göre daha sessiz çalışıyor. Şık ve zarif bir tasarımı var. Philips vb markalara fazla para vermeye gerek yok. Bu makine uygun fiyata işini iyi yapıyor.;2
Ürün 5 gün içinde elime geçti çok güzel ve kullanışlı bir ürün harika ötesi usb giriş yerinin olması ayrıca bir avantaj;2
hizli kargo 1 gunluk gibi tiras ediyor tiras bicagi hassasiyeti olanlar icin iyi deriyi tutmuyor kanatmiyor.;2
gerçekten etkili, elime geçtiği gün denedim ve çok memnun kaldım. yorumlara bakarak ve kuaför arkadaşıma danışarak aldım;2
portatif ve kaliteli ürün, usb girişi olması ayrı avantaj memnun kaldım. Firma sahibi ve çalışanlarına çok teşekkür ederim. .;2
ürün gercekten çok kaliteli sıfıra yakin kesiyor ve cok kullanisli. yuzunuzde gezdigini hissetmiyorsunuz. trendyol güvenceside varken ihtiyaci olan herkese tavsiye ediyorum.;2
Ürün göründüğü gibi güzel beklentiniz çokta yüksek olmasın bu fiyata en iyisi;0
Ürün fiyatına göre gayet iyi.;2
karantinada iş görüyor.. fiyat performans ürünü.. teşekkürler..;2
Harika esim bayildi cok uygun fiystli ve fazlasiyla is goruyor daha fazlasini vermeye gerek yok;2
kardesim icin aldik.gayet kullanisli bir sıkıntı yok;2
Pandemi döneminde çok işimizi gördü. Gayet kullanışlı. Hafif rahat şarjı da iyi gidiyor;2
ürünu eşime hediye aldım beğendi severek kullaniyor;2
Isimizi gordu. Ama uzun kesmekmisterseniz uygun basligi yok.;0
uzun süredir kullanıyorum hiçbir sorun yaşamadım tavsiye ederim;2
Eşime hediye olarak almıştım severek kullanıyor eşimin kuaförü bu markayı tavsiye etmişti;2
eşime hediye olarak aldım. çok memnun kaldı. arkadaslarina tavsiye ediyor.;2
Beğendim fiyatını hakeden bir ürün.;2
ürün süper daha evvelde trendyoldan almıştım;2
fiyat ürün performansı güzel bir ürün;2
sıfır yapmak istenyenler için çok iyi bir ürün;2
FİYAT PERFORMANS OLARAK ÇOK İYİ;2
Fiyata göre mükemmel bir alet;2
Piyasaya göre uygun fiyatlı. Güzel bir ürün.;2
Fiyatına göre çok güzel bir ürün;2
Kuzey pazarlama isimli satıcadan aldım pazar akşamı aldım ürünü salı elime ulaştı ilk izlenim ürün kaliteli duruyor;2
Bunun başka bir traş makinesini kullanıyordum 5 senedir karantinadan dolayı öğrenci evimde kaldı bir tane daha almak istedim yorumlar da gayet iyi bir traş makinesinden ne istiyorsanız onu karşılayacak bir makine ihtiyacı olanlara tavsiye edilir bu markalar tam f/p ürünü sağlam makina yapıyorlar;2
güzel ürün uygun;2
Saç için fazla beklenti içinde olmayın sakal kesimi ve fiyatına göre normal daha iyi ürün isteyenler fiyat konusunu yukarı taşımalı.;0
Aynı markanın saç kurutma makinasını da kullanıyorum. Çok da memnunum. Salgın yüzünden indirimdeyken almıştım. Fiyatına göre Bayağı iyi görünüyor. ??;2
Gayet iyi ürün . Saç kesimi için kullandık çok başarılı ama keşke 4 numara tarağıda olsaydı en uzun 3 numaraya kadar kesiyor ama gayet iyi;2
TR-558 modelini de dedeme almıştım. Model koduna aldanıp bir de bu ütün daha yenidir diye bunu da kendime aldim. Ikisi de kötü değil fakat diğerini tavsiye ederim.;0
pandemi döneminde almıştık, gayet kullanışlıydi eşimin ve oğlumun saçlarını kestim gayet eşit uzunlukta oluyor.;2
Ürün gayet başarılı, kullandık memnunuz tek sorunu şarjının biraz az gittiğini düşünüyoruz. Kafa traşı için biraz daha fazla gidebilirdi şarjı.;0
Ürün bıçakları çok keskin sakal ense için biçilmiş kaftan saç kesmek için alacaklara tavsiye etmem makina ona uygun değil diğer eksi yönler şarj kablosu çok basit kopacak gibi heran makina biraz tahriş ediyo cildi ve garanti belgesinde ne firma kaşesi nede garanti başlangıç tarihi var birde kutu açılmış gibi onun harici canavar;0
Eniştem berber ve hep bu markanın ürünlerini kullanıyor. Çok memnun kaldı. Sadece kargoya çok geç verildi.;2
Covid-19 sebebiyle bu ürünü tavsiye üzerine aldık. Daha önce saç kesme makinası kullanmadık ama bu iyi gibi duruyor. İşimizi gördü gayet düz küt bir saç kesimi yaptık güzel oldu sevdik.;2
Çok iyi çok memnun kaldım. Berberimin önerisiyle aldım ancak alet suya çok dayanıksızmış hemen patlıyormuş dikkatli olun banyoda su ile temas edecek şekilde kullanmayın;0
kesinlikle iş görür ve profesyonel düzeyde , her türlü yüzeyde ve alanda sıfıra yakın bir tıraş sağlıyor. Temizliğine ve bakımına dikkat edin. 1-5-3 numara dışında numara yok yani saç kesimine uygun değil sadece sakal için kullanabilirsiniz kısaltmalarda.;0
yaşım 16 ürün beklediğimden de iyi çıktı makinesi canavar gibi yeni çıkan sakallarımı çok rahat alıyo bu bana yeter teşekkürler trendyol :);2
Sakal traşı için ideal kendimi berberden iyi sakal traşı yaptım sakalım uzundu hiç çekme falanda yapmadı;2
hızlı kargo özenli paketleme.urun güzel parasını hakkediyor.tavsiye ederim.sorunsuz alışveriş oldu teşekkürler;2
ürünü f/p olarak degerlendirdigimde 5 yıldız verdim. klavuzunu iyi inceleyin, babamın traşı 50-55 dk.'da bitti. pahalı ürün alacaktım ama bende yorumlara itibar ederek aldım. 1-5 aya parasını çıkartır :-);2
Kargo hızlı , paketlenme harika, kutu içeriği tam, sessiz çalışıyor, ilk geldiğinde hemen kullandım şarj tamdı.Talimatlarına uyulması gerekir.;2
Fiyat çok iyi. Makine sakalları sıfıra çok yakın kesebiliyor. Motoru güçlü. Saç için denemedim ancak sakal için gayet tatmin edici bir ürün.;2
Ürün tek kelimeyle mükemmel...Yani neredeyse 0 yapıyor tıraşı... Satıcı hızlı ve özverili gönderi teşekkür ediyorum...Tavsiye ederim.;2
mutlaka alin tavsiye ederim. ozellikle 0 kesim gayet başarılı. 0 kesimi merak edenler icin sinek kaydi sakal trasi olup aradan 5 gun gectikten sonraki halini veriyor.;2
Fiyatına göre iyi bir cihaz. Sakal performansı iyi, saç için bıçakları küçük kalıyor ama biraz uğraşırsanız saçı da kesiyor. Ben öneriyorum.;2
ALALI 1 YIL OLDU ÇOK MEMNUNUM. SORUNSUZ BİR ÜRÜN OLDUĞU İÇİN ÜRETİMDEN KALDIRIRLAR DİYE YEDEK ALACAĞIM.;2
Ürün gayet kaliteli gönül rahatlıhıyla alabilirsiniz ufak bir sorun oldu hemen garantiye göndrrdim ilgilendiler geri gönderdiler;2
arkadaşlar fiyatına göre çok iyi ürün. kargo ilk defa bu kadar çabuk geldi ve sağlam geldi onun içinde teşekkür etmeyi borç bilirim;2
Bu fiyata bu kalite inanılmaz şiddetle tavsiye ediyorum. Kargoda çok çabuk geldi herhezin eline sağlık.;2
Kesinlikle göründüğü gibi harika bir ürün.Çok güçlü bir motoru var.Paketleme güzeldi.Kendi şarj makinesinin yanında usb kablo ile şarj edilebiliyor.Tavsiye ederim ama gün geçtikçe fiyatı artıyor alacaksanız hemen alın.;2
F/P ürünü, başarılı ve kaliteli almak isteyenlere tavsiye ederim. Saç kesimine uygun olmadığınıda belirtmek isterim.;2
Gerçekten Ürün güzel Kargolama iyi Ürünü sipariş verdim 3 gün içinde elime ulaştı gönderen firmayada teşekkür ederim ilgilendikleri için;2
Ürün gayet kullanışlı alabilirsiniz. 1mm taragı eksikti,başka bir kargoyla yolladılar tavsiye ederim.cok güçlü ve sıfıra yakın bir kesim yapıyor.;2
pahalı ürünlerden bile çok çok iyi motoru çok güçlü ve şarzı bitse bile kabloyla kullanıma devam edebiliyorsunuz. kesinlikle tavsiye ederim;2
Kargo baya hızlı geldi beklediğimden ürün gayet orjinal bi üründür tasfiye ederim memnun kalırsınız fiyat olarakta gayet uygun alın kaçırmayın derim;2
Kargo konusunda bir sorun yaşadım ama kendim çözdüm o sorunu. Kargo firmanızı dikkatli seçmenizi öneririm. Bir üründe en çok olmasını istediğim şey garanti belgesi üzerinde kaşe ve imzadır, onu göremedim tüm bunlara rağmen puan kırmadım. Ürün ilk çalışmasına göre gayet başarılıydı umarım diğer kullanımlarda da uzun süre aynı performansı gösterir;0
Ürün gayet başarılı ama vücudumda bir kaç tane küçük kesik oluştu bir kaç traşa düzelir diye umut ediyorum hassas bölgeleri keserken aman dikkat komple vücut için almıştım bu paraya bu performans powertec teşekkürler.Aras kargo işini hakkıyla yaptı.a;0
Elinize alıp çalıştırdığınızda kalitesini anlıyorsunuz. Çok güzel bir makine .Sakallari efsane çiziyor ve şekillendiriyor.;2
Kargo bir iki gün içinde eksiksiz ve sağlam geldi. Makine tek kelime ile mükemmel. Geldiği gibi hiç şarj etmeden 4-5 defa traş oldum. Bu fiyata bu performans çok çok çok iyi;2
Eksiksiz, sağlam ve 5 gün içinde geldi hızlı kargo. aklınızda soru işareti olmasın tavsiye ediyorum sakalları sıfıra yakın kesiyor. Bu fiyata efsane ürün.;2
4 aydir kulkaniyorum sarji fazla yok dediler takmiyorum dogru durust mukemmel bi fiyata mukemmel bir makine;2
Ürün gerçekten fiyat performans ürünü. Bu fiyata başka modellerde bulamayacağınız ergonomiklik ve kalite var. Yorumları okuyarak almıştım hiç pişman olmadım.;2
Harika bir makine herkese tavsiye ederim o kadar makine aldım ki hiçbiri bu kalitede değildi belki bu makineden 4 tane alacağım parayı başka makineler aldım hiçbiri bu fiyata göre verimli ve kalitede görmedim.;2
Fiyatına göre gayet güzel bir cihaz ve diğer adı çıkmış markalara taş çıkartır ilk geldiğinde ki şarjı ile 4-5 kez sakal için kullandım çekme yok jilete yakın seviyede alıyor;2
Ürün tam anlamıyla fiyat performans ürünü. Babam için almıştım, çok beğendi. Kesinlikle tavsiye ediyorum.;2
mükemmel bir şekilde çalışıyor. traş ve sakal kesimi gayet iyi sessiz ama biraz ufak gibi gözüküyor. bence bu makine her işinizi görür;2
F/P ürünü, başarılı ve kaliteli almak isteyenlere tavsiye ederim. Saç kesimine uygun olmadığınıda belirtmek isterim.;2
Bu fiyata bu kalite inanılmaz şiddetle tavsiye ediyorum. Kargoda çok çabuk geldi herhezin eline sağlık.;2
arkadaşlar fiyatına göre çok iyi ürün. kargo ilk defa bu kadar çabuk geldi ve sağlam geldi onun içinde teşekkür etmeyi borç bilirim;2
Ürün gayet kaliteli gönül rahatlıhıyla alabilirsiniz ufak bir sorun oldu hemen garantiye göndrrdim ilgilendiler geri gönderdiler;2
